CustomerID,CustomerName,Gender,Age,City,SignupDate,Region
C0001,Customer_0001,Male,34,Mumbai,2023-01-21,West
C0002,Customer_0002,Female,26,Hyderabad,2025-09-10,South
C0003,Customer_0003,Male,50,Pune,2023-11-01,West
C0004,Customer_0004,Male,37,Bengaluru,2024-01-06,South
C0005,Customer_0005,Male,30,Chennai,2025-05-02,South
C0006,Customer_0006,Female,45,Jaipur,2024-01-19,North
C0007,Customer_0007,Male,46,Lucknow,2024-03-20,North
C0008,Customer_0008,Male,30,Bengaluru,2024-02-29,South
C0009,Customer_0009,Male,52,Hyderabad,2023-06-10,South
C0010,Customer_0010,Female,23,Ahmedabad,2024-09-20,West
C0011,Customer_0011,Male,35,Pune,2025-06-13,West
C0012,Customer_0012,Male,22,Delhi,2024-05-04,North
C0013,Customer_0013,Male,42,Hyderabad,2025-10-13,South
C0014,Customer_0014,Male,19,Hyderabad,2023-11-23,South
C0015,Customer_0015,Female,27,Ahmedabad,2024-08-20,West
C0016,Customer_0016,Male,47,Kolkata,2025-10-11,East
C0017,Customer_0017,Female,22,Ahmedabad,2023-10-16,West
C0018,Customer_0018,Female,50,Kolkata,2024-08-15,East
C0019,Customer_0019,Female,18,Kolkata,2024-07-26,East
C0020,Customer_0020,Male,35,Chennai,2023-01-28,South
C0021,Customer_0021,Female,49,Chennai,2025-08-11,South
C0022,Customer_0022,Male,28,Mumbai,2023-02-12,West
C0023,Customer_0023,Female,38,Jaipur,2024-02-27,North
C0024,Customer_0024,Female,43,Jaipur,2023-06-26,North
C0025,Customer_0025,Female,42,Delhi,2024-06-12,North
C0026,Customer_0026,Female,39,Jaipur,2025-08-23,North
C0027,Customer_0027,Female,44,Chennai,2023-07-17,South
C0028,Customer_0028,Female,30,Mumbai,2024-09-01,West
C0029,Customer_0029,Female,50,Mumbai,2025-04-21,West
C0030,Customer_0030,Female,51,Kolkata,2025-05-02,East
C0031,Customer_0031,Male,58,Ahmedabad,2023-01-22,West
C0032,Customer_0032,Male,52,Delhi,2025-12-16,North
C0033,Customer_0033,Female,18,Kolkata,2025-12-25,East
C0034,Customer_0034,Female,38,Ahmedabad,2025-04-21,West
C0035,Customer_0035,Female,23,Jaipur,2023-04-08,North
C0036,Customer_0036,Male,45,Kolkata,2024-03-10,East
C0037,Customer_0037,Female,34,Bengaluru,2024-09-28,South
C0038,Customer_0038,Male,22,Jaipur,2024-08-10,North
C0039,Customer_0039,Male,48,Ahmedabad,2023-12-10,West
C0040,Customer_0040,Male,22,Delhi,2024-07-24,North
C0041,Customer_0041,Male,55,Ahmedabad,2024-09-02,West
C0042,Customer_0042,Male,20,Kolkata,2023-08-31,East
C0043,Customer_0043,Female,40,Kolkata,2024-07-14,East
C0044,Customer_0044,Female,54,Hyderabad,2025-08-17,South
C0045,Customer_0045,Female,54,Delhi,2023-02-01,North
C0046,Customer_0046,Female,27,Lucknow,2024-01-26,North
C0047,Customer_0047,Female,27,Jaipur,2023-10-04,North
C0048,Customer_0048,Male,36,Mumbai,2024-06-15,West
C0049,Customer_0049,Female,34,Delhi,2024-01-18,North
C0050,Customer_0050,Female,38,Mumbai,2025-12-27,West
C0051,Customer_0051,Male,31,Delhi,2025-06-02,North
C0052,Customer_0052,Female,26,Delhi,2023-08-02,North
C0053,Customer_0053,Male,18,Ahmedabad,2024-01-11,West
C0054,Customer_0054,Female,30,Delhi,2025-01-13,North
C0055,Customer_0055,Male,21,Hyderabad,2023-08-01,South
C0056,Customer_0056,Female,18,Lucknow,2023-03-20,North
C0057,Customer_0057,Female,57,Kolkata,2024-09-19,East
C0058,Customer_0058,Male,49,Pune,2024-08-26,West
C0059,Customer_0059,Male,51,Mumbai,2025-02-20,West
C0060,Customer_0060,Male,45,Kolkata,2025-09-27,East
C0061,Customer_0061,Male,48,Pune,2024-11-10,West
C0062,Customer_0062,Male,25,Lucknow,2023-02-27,North
C0063,Customer_0063,Male,56,Lucknow,2025-11-15,North
C0064,Customer_0064,Male,43,Mumbai,2025-05-30,West
C0065,Customer_0065,Male,51,Mumbai,2024-03-22,West
C0066,Customer_0066,Female,20,Lucknow,2023-03-07,North
C0067,Customer_0067,Female,29,Pune,2025-12-03,West
C0068,Customer_0068,Male,18,Delhi,2025-10-08,North
C0069,Customer_0069,Female,22,Jaipur,2023-08-15,North
C0070,Customer_0070,Female,47,Bengaluru,2025-02-12,South
C0071,Customer_0071,Female,47,Kolkata,2024-11-09,East
C0072,Customer_0072,Female,34,Ahmedabad,2024-08-23,West
C0073,Customer_0073,Male,40,Kolkata,2024-01-14,East
C0074,Customer_0074,Female,32,Ahmedabad,2024-12-09,West
C0075,Customer_0075,Male,54,Pune,2023-11-03,West
C0076,Customer_0076,Female,38,Ahmedabad,2025-02-17,West
C0077,Customer_0077,Female,31,Mumbai,2024-05-18,West
C0078,Customer_0078,Female,19,Jaipur,2023-09-25,North
C0079,Customer_0079,Male,28,Jaipur,2023-01-08,North
C0080,Customer_0080,Female,56,Mumbai,2024-05-22,West
C0081,Customer_0081,Male,55,Hyderabad,2024-04-20,South
C0082,Customer_0082,Female,51,Pune,2023-06-13,West
C0083,Customer_0083,Male,55,Hyderabad,2024-04-29,South
C0084,Customer_0084,Female,51,Hyderabad,2025-12-31,South
C0085,Customer_0085,Male,35,Kolkata,2024-07-20,East
C0086,Customer_0086,Male,47,Lucknow,2025-06-23,North
C0087,Customer_0087,Female,32,Kolkata,2024-07-12,East
C0088,Customer_0088,Male,44,Lucknow,2023-08-26,North
C0089,Customer_0089,Female,51,Bengaluru,2024-07-07,South
C0090,Customer_0090,Female,55,Ahmedabad,2025-04-07,West
C0091,Customer_0091,Female,50,Lucknow,2024-04-12,North
C0092,Customer_0092,Female,41,Mumbai,2024-01-21,West
