OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,Profit
OD000001,O00001,P0014,4,10018,15,34061.2,12649.2
OD000002,O00001,P0063,3,5568,5,15868.8,6532.8
OD000003,O00002,P0030,1,10331,5,9814.45,3909.45
OD000004,O00002,P0027,4,4363,10,15706.8,2006.8
OD000005,O00003,P0040,2,6601,5,12541.9,4543.9
OD000006,O00004,P0033,4,5694,10,20498.4,2642.4
OD000007,O00004,P0001,3,8847,20,21232.8,6712.8
OD000008,O00005,P0061,2,6727,20,10763.2,1539.2
OD000009,O00005,P0008,3,9277,15,23656.35,4423.35
OD000010,O00005,P0041,3,8569,10,23136.3,8721.3
OD000011,O00006,P0007,1,9936,15,8445.6,2252.6
OD000012,O00007,P0006,1,5410,5,5139.5,1821.5
OD000013,O00007,P0060,2,3201,20,5121.6,2093.6
OD000014,O00007,P0038,1,5709,15,4852.65,1853.65
OD000015,O00007,P0068,4,375,20,1200.0,0.0
OD000016,O00008,P0055,1,3114,10,2802.6,559.6
OD000017,O00008,P0063,3,5568,15,14198.4,4862.4
OD000018,O00008,P0048,3,3582,15,9134.1,3245.1
OD000019,O00009,P0001,1,8847,10,7962.3,3122.3
OD000020,O00009,P0073,4,3981,0,15924.0,6324.0
OD000021,O00010,P0006,2,5410,20,8656.0,2020.0
OD000022,O00010,P0015,3,6239,10,16845.3,3465.3
OD000023,O00011,P0043,3,3251,15,8290.05,175.05
OD000024,O00011,P0011,2,7617,5,14472.3,4530.3
OD000025,O00011,P0057,4,4846,10,17445.6,6029.6
OD000026,O00011,P0068,4,375,5,1425.0,225.0
OD000027,O00012,P0079,1,11587,0,11587.0,6154.0
OD000028,O00012,P0072,2,10954,15,18621.8,8243.8
OD000029,O00012,P0023,1,12189,10,10970.1,5376.1
OD000030,O00012,P0062,1,6552,5,6224.4,2398.4
OD000031,O00013,P0009,4,4834,20,15468.8,2452.8
OD000032,O00013,P0033,1,5694,5,5409.3,945.3
OD000033,O00013,P0018,3,8947,0,26841.0,8658.0
OD000034,O00014,P0053,4,500,10,1800.0,872.0
OD000035,O00015,P0043,1,3251,15,2763.35,58.35
OD000036,O00015,P0023,1,12189,10,10970.1,5376.1
OD000037,O00016,P0065,4,1750,5,6650.0,1794.0
OD000038,O00016,P0006,2,5410,20,8656.0,2020.0
OD000039,O00017,P0055,3,3114,15,7940.7,1211.7
OD000040,O00017,P0078,4,2727,20,8726.4,1834.4
OD000041,O00017,P0023,1,12189,15,10360.65,4766.65
OD000042,O00017,P0076,1,7205,10,6484.5,1901.5
OD000043,O00018,P0033,1,5694,15,4839.9,375.9
OD000044,O00018,P0076,4,7205,15,24497.0,6165.0
OD000045,O00019,P0048,2,3582,5,6805.8,2879.8
OD000046,O00019,P0043,4,3251,0,13004.0,2184.0
OD000047,O00019,P0029,3,8916,5,25410.6,7194.6
OD000048,O00020,P0075,3,2498,10,6744.6,2742.6
OD000049,O00020,P0071,2,8287,25,12430.5,1160.5
OD000050,O00020,P0042,4,8402,10,30247.2,7399.2
OD000051,O00020,P0053,4,500,10,1800.0,872.0
OD000052,O00021,P0039,3,7839,25,17637.75,1428.75
OD000053,O00022,P0043,1,3251,10,2925.9,220.9
OD000054,O00022,P0062,2,6552,5,12448.8,4796.8
OD000055,O00022,P0039,2,7839,15,13326.3,2520.3
OD000056,O00022,P0006,2,5410,10,9738.0,3102.0
OD000057,O00023,P0034,3,8273,25,18614.25,-954.75
OD000058,O00024,P0075,1,2498,5,2373.1,1039.1
OD000059,O00024,P0044,3,1630,5,4645.5,931.5
OD000060,O00025,P0039,1,7839,10,7055.1,1652.1
OD000061,O00025,P0008,1,9277,20,7421.6,1010.6
OD000062,O00025,P0054,4,7011,25,21033.0,6469.0
OD000063,O00026,P0018,1,8947,5,8499.65,2438.65
OD000064,O00026,P0043,4,3251,15,11053.4,233.4
OD000065,O00026,P0019,2,6155,5,11694.5,5872.5
OD000066,O00027,P0023,4,12189,5,46318.2,23942.2
OD000067,O00027,P0078,1,2727,10,2454.3,731.3
OD000068,O00028,P0075,1,2498,20,1998.4,664.4
OD000069,O00028,P0067,2,3128,5,5943.2,1471.2
OD000070,O00029,P0034,2,8273,10,14891.4,1845.4
OD000071,O00030,P0063,4,5568,5,21158.4,8710.4
OD000072,O00030,P0048,4,3582,15,12178.8,4326.8
OD000073,O00031,P0032,3,11145,0,33435.0,14811.0
OD000074,O00032,P0046,2,10496,10,18892.8,9078.8
OD000075,O00032,P0065,4,1750,10,6300.0,1444.0
OD000076,O00033,P0073,2,3981,5,7563.9,2763.9
OD000077,O00033,P0033,3,5694,15,14519.7,1127.7
OD000078,O00033,P0009,2,4834,10,8701.2,2193.2
OD000079,O00033,P0049,4,4908,20,15705.6,5261.6
OD000080,O00034,P0055,1,3114,15,2646.9,403.9
OD000081,O00034,P0044,1,1630,15,1385.5,147.5
OD000082,O00035,P0006,2,5410,0,10820.0,4184.0
OD000083,O00035,P0071,2,8287,10,14916.6,3646.6
OD000084,O00035,P0066,3,3382,10,9131.4,1904.4
OD000085,O00035,P0003,2,319,5,606.1,82.1
OD000086,O00036,P0075,3,2498,20,5995.2,1993.2
OD000087,O00036,P0008,4,9277,20,29686.4,4042.4
OD000088,O00036,P0068,1,375,5,356.25,56.25
OD000089,O00036,P0039,2,7839,10,14110.2,3304.2
OD000090,O00037,P0066,2,3382,10,6087.6,1269.6
OD000091,O00038,P0017,3,10962,15,27953.1,12938.1
OD000092,O00038,P0021,3,12927,10,34902.9,17088.9
OD000093,O00038,P0040,1,6601,20,5280.8,1281.8
OD000094,O00038,P0037,1,4495,10,4045.5,1481.5
OD000095,O00039,P0023,2,12189,10,21940.2,10752.2
OD000096,O00040,P0063,1,5568,5,5289.6,2177.6
OD000097,O00040,P0026,1,9610,5,9129.5,2915.5
OD000098,O00041,P0017,1,10962,15,9317.7,4312.7
OD000099,O00042,P0003,1,319,0,319.0,57.0
OD000100,O00042,P0070,3,9093,20,21823.2,4291.2
OD000101,O00043,P0046,4,10496,0,41984.0,22356.0
OD000102,O00043,P0018,1,8947,10,8052.3,1991.3
OD000103,O00043,P0050,4,791,25,2373.0,641.0
OD000104,O00043,P0030,1,10331,5,9814.45,3909.45
OD000105,O00044,P0054,1,7011,10,6309.9,2668.9
OD000106,O00045,P0076,3,7205,20,17292.0,3543.0
