OrderID,OrderDate,CustomerID,PaymentMethod,OrderStatus
O00001,2026-01-19,C0484,UPI,Delivered
O00002,2026-02-14,C0450,Credit Card,Delivered
O00003,2025-11-21,C0523,Credit Card,Delivered
O00004,2025-05-08,C0871,UPI,Delivered
O00005,2025-05-04,C0354,Net Banking,Delivered
O00006,2025-12-21,C0986,Credit Card,Delivered
O00007,2024-03-13,C0658,UPI,Delivered
O00008,2025-05-23,C0597,Net Banking,Delivered
O00009,2025-01-24,C0100,Net Banking,Delivered
O00010,2025-09-10,C0616,Credit Card,Delivered
O00011,2026-05-06,C0948,Net Banking,Delivered
O00012,2024-10-21,C0558,COD,Delivered
O00013,2025-01-03,C0556,Credit Card,Delivered
O00014,2026-03-06,C0278,UPI,Cancelled
O00015,2026-05-14,C0693,UPI,Delivered
O00016,2025-11-24,C0699,Credit Card,Returned
O00017,2025-07-02,C0990,UPI,Delivered
O00018,2025-10-10,C0626,COD,Delivered
O00019,2026-04-29,C0491,Net Banking,Delivered
O00020,2025-07-21,C0255,Net Banking,Delivered
O00021,2024-07-05,C0381,COD,Delivered
O00022,2026-05-02,C0892,COD,Delivered
O00023,2026-02-08,C0542,UPI,Delivered
O00024,2025-03-20,C0264,UPI,Delivered
O00025,2025-07-23,C0610,Debit Card,Delivered
O00026,2024-12-28,C0825,Credit Card,Delivered
O00027,2024-05-02,C0879,Credit Card,Delivered
O00028,2024-07-06,C0329,Debit Card,Delivered
O00029,2026-01-11,C0115,COD,Delivered
O00030,2025-11-10,C0276,Credit Card,Delivered
O00031,2025-02-23,C0488,Net Banking,Delivered
O00032,2025-09-17,C0281,UPI,Delivered
O00033,2024-09-08,C0275,Debit Card,Delivered
O00034,2025-09-10,C0773,UPI,Delivered
O00035,2025-07-02,C0843,COD,Delivered
O00036,2024-11-30,C0719,UPI,Delivered
O00037,2024-04-01,C0896,Debit Card,Delivered
O00038,2025-06-13,C0328,UPI,Cancelled
O00039,2026-05-15,C0211,UPI,Delivered
O00040,2024-03-03,C0727,Credit Card,Delivered
O00041,2025-10-23,C0923,Credit Card,Delivered
O00042,2025-05-26,C0552,UPI,Delivered
O00043,2024-05-18,C0992,UPI,Delivered
O00044,2025-11-28,C0026,Debit Card,Delivered
O00045,2024-07-03,C0027,Debit Card,Delivered
O00046,2024-07-23,C0702,UPI,Delivered
O00047,2026-02-10,C0083,Debit Card,Delivered
O00048,2024-08-01,C0896,UPI,Delivered
O00049,2024-09-12,C0946,Credit Card,Delivered
O00050,2024-05-14,C0682,UPI,Delivered
O00051,2025-07-26,C0413,Credit Card,Delivered
O00052,2026-05-24,C0167,UPI,Delivered
O00053,2026-04-01,C0700,COD,Delivered
O00054,2024-03-28,C0169,UPI,Delivered
O00055,2026-04-15,C0801,UPI,Delivered
O00056,2024-07-25,C0979,UPI,Delivered
O00057,2024-05-08,C0229,COD,Delivered
O00058,2026-04-02,C0979,Debit Card,Delivered
O00059,2024-01-03,C0609,Debit Card,Delivered
O00060,2026-07-22,C0367,COD,Delivered
O00061,2026-01-23,C0528,COD,Delivered
O00062,2024-04-30,C0791,Debit Card,Delivered
O00063,2025-01-19,C0647,UPI,Delivered
O00064,2025-09-05,C0538,Net Banking,Delivered
O00065,2024-02-07,C0864,UPI,Delivered
O00066,2024-12-06,C0524,Debit Card,Delivered
O00067,2026-07-13,C0072,Debit Card,Delivered
O00068,2025-10-06,C0645,Net Banking,Delivered
O00069,2025-12-14,C0106,Credit Card,Delivered
O00070,2026-05-09,C0732,Debit Card,Delivered
O00071,2024-01-21,C0885,COD,Delivered
O00072,2024-08-29,C0965,UPI,Delivered
O00073,2025-03-30,C0689,UPI,Delivered
O00074,2025-09-12,C0282,Debit Card,Delivered
O00075,2024-10-29,C0133,COD,Delivered
O00076,2025-08-18,C0534,UPI,Delivered
O00077,2025-08-17,C0975,UPI,Delivered
O00078,2026-03-13,C0269,UPI,Returned
O00079,2024-03-09,C0412,UPI,Delivered
O00080,2024-05-08,C0673,COD,Delivered
O00081,2024-07-14,C0619,Debit Card,Delivered
O00082,2024-05-19,C0791,Debit Card,Delivered
O00083,2025-03-19,C0865,Credit Card,Delivered
O00084,2024-10-09,C0747,Net Banking,Delivered
O00085,2024-11-07,C0018,UPI,Delivered
O00086,2026-01-15,C0754,Credit Card,Delivered
O00087,2025-06-18,C0117,Credit Card,Delivered
O00088,2025-10-26,C0798,UPI,Returned
O00089,2024-10-03,C0794,Credit Card,Delivered
O00090,2024-03-01,C0144,UPI,Delivered
O00091,2024-11-14,C0717,UPI,Delivered
O00092,2026-06-08,C0551,UPI,Delivered
O00093,2024-02-21,C0929,Net Banking,Delivered
O00094,2026-05-05,C0666,UPI,Delivered
O00095,2024-06-01,C0688,COD,Delivered
O00096,2026-01-18,C0961,UPI,Cancelled
O00097,2024-11-06,C0753,Net Banking,Delivered
O00098,2026-03-24,C0422,COD,Delivered
O00099,2025-06-27,C0898,COD,Delivered
O00100,2025-07-20,C0369,COD,Delivered
O00101,2026-05-13,C0646,UPI,Delivered
O00102,2025-01-23,C0558,UPI,Delivered
O00103,2025-07-01,C0050,Credit Card,Delivered
O00104,2025-09-13,C0678,UPI,Delivered
O00105,2024-06-25,C0106,UPI,Cancelled
O00106,2024-12-27,C0216,COD,Delivered
O00107,2024-11-09,C0658,Credit Card,Delivered
O00108,2026-03-17,C0923,Debit Card,Delivered
O00109,2026-04-27,C0425,COD,Delivered
O00110,2024-04-06,C0072,Debit Card,Delivered
O00111,2026-05-30,C0988,Debit Card,Delivered
O00112,2024-07-31,C0842,Net Banking,Delivered
O00113,2026-04-08,C0785,UPI,Cancelled
O00114,2024-05-16,C0759,Credit Card,Delivered
O00115,2024-01-06,C0446,COD,Delivered
O00116,2024-04-18,C0925,COD,Delivered
O00117,2025-06-30,C0186,COD,Delivered
O00118,2024-02-08,C0070,Credit Card,Delivered
O00119,2025-10-23,C0974,COD,Delivered
O00120,2025-02-28,C0150,UPI,Delivered
O00121,2025-09-21,C0246,UPI,Delivered
O00122,2024-09-17,C0774,Credit Card,Delivered
O00123,2025-03-01,C0538,Credit Card,Cancelled
O00124,2024-03-27,C0935,UPI,Returned
O00125,2025-04-09,C0652,Credit Card,Returned
O00126,2024-03-16,C0099,UPI,Delivered
O00127,2025-04-15,C0910,Credit Card,Cancelled
O00128,2025-02-17,C0278,Net Banking,Returned
O00129,2026-04-04,C0563,Debit Card,Cancelled
O00130,2026-06-13,C0663,UPI,Delivered
O00131,2025-12-26,C0944,Credit Card,Delivered
O00132,2025-04-01,C0455,Debit Card,Delivered
O00133,2024-10-11,C0104,Credit Card,Delivered
O00134,2024-08-26,C0946,Credit Card,Delivered
O00135,2025-11-07,C0601,Debit Card,Delivered
O00136,2025-08-21,C0653,COD,Returned
O00137,2025-10-14,C0725,UPI,Delivered
O00138,2025-11-02,C0233,Credit Card,Delivered
O00139,2025-07-11,C0394,Credit Card,Returned
O00140,2025-01-06,C0501,Credit Card,Returned
O00141,2025-05-09,C0695,UPI,Delivered
O00142,2025-09-15,C0251,UPI,Delivered
O00143,2026-07-07,C0521,UPI,Delivered
O00144,2024-02-14,C0079,COD,Delivered
O00145,2025-02-04,C0052,Debit Card,Delivered
O00146,2024-09-03,C0898,Debit Card,Delivered
O00147,2025-09-07,C0921,Net Banking,Delivered
O00148,2025-08-19,C0781,UPI,Delivered
O00149,2025-03-25,C0226,COD,Cancelled
O00150,2025-04-29,C0051,Credit Card,Delivered
O00151,2025-10-07,C0186,UPI,Cancelled
O00152,2025-09-11,C0034,Net Banking,Delivered
O00153,2024-01-18,C0803,Net Banking,Delivered
O00154,2025-08-28,C0742,Net Banking,Cancelled
O00155,2025-10-23,C0131,UPI,Cancelled
O00156,2026-01-27,C0632,COD,Delivered
O00157,2024-10-15,C0443,COD,Delivered
O00158,2025-02-17,C0838,Credit Card,Delivered
O00159,2025-12-21,C0759,UPI,Delivered
O00160,2025-09-29,C0432,UPI,Cancelled
O00161,2024-08-22,C0704,COD,Delivered
O00162,2025-02-19,C0497,Credit Card,Delivered
O00163,2026-07-26,C0403,Credit Card,Delivered
O00164,2025-05-13,C0323,UPI,Delivered
O00165,2025-09-25,C0210,UPI,Delivered
O00166,2025-10-11,C0615,Debit Card,Delivered
O00167,2024-04-24,C0329,Credit Card,Delivered
O00168,2026-07-20,C0372,COD,Delivered
O00169,2025-11-04,C0460,Debit Card,Delivered
O00170,2025-12-13,C0133,Net Banking,Delivered
O00171,2024-08-21,C0835,UPI,Delivered
O00172,2025-06-23,C0651,UPI,Returned
O00173,2024-01-11,C0121,Credit Card,Delivered
O00174,2024-07-24,C0606,UPI,Delivered
