ReturnID,OrderID,ReturnDate,ReturnReason
R00001,O00016,1970-01-01 00:00:00.000020427,Damaged
R00002,O00078,1970-01-01 00:00:00.000020531,Wrong Product
R00003,O00088,1970-01-01 00:00:00.000020389,Size Issue
R00004,O00124,1970-01-01 00:00:00.000019815,Size Issue
R00005,O00125,1970-01-01 00:00:00.000020192,Late Delivery
R00006,O00128,1970-01-01 00:00:00.000020141,Damaged
R00007,O00136,1970-01-01 00:00:00.000020336,Damaged
R00008,O00139,1970-01-01 00:00:00.000020295,Not Satisfied
R00009,O00140,1970-01-01 00:00:00.000020107,Wrong Product
R00010,O00172,1970-01-01 00:00:00.000020274,Not Satisfied
R00011,O00184,1970-01-01 00:00:00.000020145,Size Issue
R00012,O00190,1970-01-01 00:00:00.000019908,Late Delivery
R00013,O00198,1970-01-01 00:00:00.000020177,Size Issue
R00014,O00219,1970-01-01 00:00:00.000019752,Not Satisfied
R00015,O00220,1970-01-01 00:00:00.000019802,Wrong Product
R00016,O00223,1970-01-01 00:00:00.000020529,Size Issue
R00017,O00256,1970-01-01 00:00:00.000020322,Wrong Product
R00018,O00277,1970-01-01 00:00:00.000019967,Not Satisfied
R00019,O00299,1970-01-01 00:00:00.000020564,Wrong Product
R00020,O00314,1970-01-01 00:00:00.000019769,Late Delivery
R00021,O00362,1970-01-01 00:00:00.000020274,Damaged
R00022,O00399,1970-01-01 00:00:00.000020114,Wrong Product
R00023,O00405,1970-01-01 00:00:00.000020119,Damaged
R00024,O00425,1970-01-01 00:00:00.000019920,Wrong Product
R00025,O00447,1970-01-01 00:00:00.000020566,Size Issue
R00026,O00448,1970-01-01 00:00:00.000020065,Wrong Product
R00027,O00532,1970-01-01 00:00:00.000019941,Size Issue
R00028,O00553,1970-01-01 00:00:00.000020307,Wrong Product
R00029,O00569,1970-01-01 00:00:00.000020287,Damaged
R00030,O00613,1970-01-01 00:00:00.000020451,Size Issue
R00031,O00616,1970-01-01 00:00:00.000020456,Size Issue
R00032,O00624,1970-01-01 00:00:00.000020663,Not Satisfied
R00033,O00689,1970-01-01 00:00:00.000020334,Late Delivery
R00034,O00704,1970-01-01 00:00:00.000020638,Late Delivery
R00035,O00731,1970-01-01 00:00:00.000020646,Wrong Product
R00036,O00754,1970-01-01 00:00:00.000020073,Not Satisfied
R00037,O00780,1970-01-01 00:00:00.000020551,Wrong Product
R00038,O00786,1970-01-01 00:00:00.000020472,Damaged
R00039,O00788,1970-01-01 00:00:00.000020557,Damaged
R00040,O00809,1970-01-01 00:00:00.000020259,Late Delivery
R00041,O00817,1970-01-01 00:00:00.000019815,Late Delivery
R00042,O00829,1970-01-01 00:00:00.000019963,Not Satisfied
R00043,O00860,1970-01-01 00:00:00.000019917,Size Issue
R00044,O00894,1970-01-01 00:00:00.000019985,Late Delivery
R00045,O00928,1970-01-01 00:00:00.000019845,Damaged
R00046,O00948,1970-01-01 00:00:00.000020456,Damaged
R00047,O00976,1970-01-01 00:00:00.000020301,Wrong Product
R00048,O01004,1970-01-01 00:00:00.000020045,Not Satisfied
R00049,O01052,1970-01-01 00:00:00.000020276,Not Satisfied
R00050,O01054,1970-01-01 00:00:00.000020019,Late Delivery
R00051,O01066,1970-01-01 00:00:00.000020303,Damaged
R00052,O01070,1970-01-01 00:00:00.000019975,Size Issue
R00053,O01091,1970-01-01 00:00:00.000020098,Late Delivery
R00054,O01113,1970-01-01 00:00:00.000020354,Late Delivery
R00055,O01115,1970-01-01 00:00:00.000020016,Late Delivery
R00056,O01158,1970-01-01 00:00:00.000020201,Wrong Product
R00057,O01160,1970-01-01 00:00:00.000020213,Late Delivery
R00058,O01190,1970-01-01 00:00:00.000019863,Wrong Product
R00059,O01214,1970-01-01 00:00:00.000020174,Size Issue
R00060,O01223,1970-01-01 00:00:00.000020334,Wrong Product
R00061,O01251,1970-01-01 00:00:00.000020569,Late Delivery
R00062,O01257,1970-01-01 00:00:00.000020133,Damaged
R00063,O01268,1970-01-01 00:00:00.000020260,Not Satisfied
R00064,O01296,1970-01-01 00:00:00.000020305,Late Delivery
R00065,O01316,1970-01-01 00:00:00.000019739,Size Issue
R00066,O01321,1970-01-01 00:00:00.000020126,Late Delivery
R00067,O01324,1970-01-01 00:00:00.000020220,Wrong Product
R00068,O01327,1970-01-01 00:00:00.000020073,Damaged
R00069,O01338,1970-01-01 00:00:00.000020643,Damaged
R00070,O01354,1970-01-01 00:00:00.000020609,Damaged
R00071,O01371,1970-01-01 00:00:00.000020010,Size Issue
R00072,O01381,1970-01-01 00:00:00.000020281,Not Satisfied
