OrderID,OrderDate,CustomerID,PaymentMethod,OrderStatus,CustomerName,Gender,Age,City,Region,SignupDate,OrderDetailID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,Profit,ProductName,Category,CostPrice,SellingPrice,Year,Month,MonthName,YearMonth,ProfitMarginPct
O00001,2026-01-19,C0484,UPI,Delivered,Customer_0484,Female,31,Pune,West,2024-02-03,OD000001,P0014,4,10018.0,15.0,34061.2,12649.2,Mouse,Electronics,5353.0,10018.0,2026,1,January,2026-01,37.13668338167769
O00001,2026-01-19,C0484,UPI,Delivered,Customer_0484,Female,31,Pune,West,2024-02-03,OD000002,P0063,3,5568.0,5.0,15868.8,6532.8,Shampoo,Beauty,3112.0,5568.0,2026,1,January,2026-01,41.167574107683
O00002,2026-02-14,C0450,Credit Card,Delivered,Customer_0450,Female,23,Hyderabad,South,2023-05-19,OD000003,P0030,1,10331.0,5.0,9814.45,3909.45,Table Lamp,Home,5905.0,10331.0,2026,2,February,2026-02,39.83361268333936
O00002,2026-02-14,C0450,Credit Card,Delivered,Customer_0450,Female,23,Hyderabad,South,2023-05-19,OD000004,P0027,4,4363.0,10.0,15706.8,2006.8,Air Fryer,Home,3425.0,4363.0,2026,2,February,2026-02,12.776631777319377
O00003,2025-11-21,C0523,Credit Card,Delivered,Customer_0523,Female,60,Delhi,North,2025-03-04,OD000005,P0040,2,6601.0,5.0,12541.9,4543.9,T-Shirt,Fashion,3999.0,6601.0,2025,11,November,2025-11,36.22975785168116
O00004,2025-05-08,C0871,UPI,Delivered,Customer_0871,Male,53,Hyderabad,South,2023-03-25,OD000006,P0033,4,5694.0,10.0,20498.4,2642.4,Bedsheet,Home,4464.0,5694.0,2025,5,May,2025-05,12.8907622058307
O00004,2025-05-08,C0871,UPI,Delivered,Customer_0871,Male,53,Hyderabad,South,2023-03-25,OD000007,P0001,3,8847.0,20.0,21232.8,6712.8,Wireless Headphones,Electronics,4840.0,8847.0,2025,5,May,2025-05,31.615236803436197
O00005,2025-05-04,C0354,Net Banking,Delivered,Customer_0354,Female,50,Bengaluru,South,2024-03-29,OD000008,P0061,2,6727.0,20.0,10763.2,1539.2,Shampoo,Beauty,4612.0,6727.0,2025,5,May,2025-05,14.300579753233238
O00005,2025-05-04,C0354,Net Banking,Delivered,Customer_0354,Female,50,Bengaluru,South,2024-03-29,OD000009,P0008,3,9277.0,15.0,23656.35,4423.35,Bluetooth Speaker,Electronics,6411.0,9277.0,2025,5,May,2025-05,18.698362173369944
O00005,2025-05-04,C0354,Net Banking,Delivered,Customer_0354,Female,50,Bengaluru,South,2024-03-29,OD000010,P0041,3,8569.0,10.0,23136.3,8721.3,T-Shirt,Fashion,4805.0,8569.0,2025,5,May,2025-05,37.69530996745374
O00006,2025-12-21,C0986,Credit Card,Delivered,Customer_0986,Female,52,Delhi,North,2025-09-26,OD000011,P0007,1,9936.0,15.0,8445.6,2252.6,Bluetooth Speaker,Electronics,6193.0,9936.0,2025,12,December,2025-12,26.671876480060618
O00007,2024-03-13,C0658,UPI,Delivered,Customer_0658,Male,54,Delhi,North,2024-06-23,OD000012,P0006,1,5410.0,5.0,5139.5,1821.5,Smart Watch,Electronics,3318.0,5410.0,2024,3,March,2024-03,35.44119077731297
O00007,2024-03-13,C0658,UPI,Delivered,Customer_0658,Male,54,Delhi,North,2024-06-23,OD000013,P0060,2,3201.0,20.0,5121.6,2093.6,Face Wash,Beauty,1514.0,3201.0,2024,3,March,2024-03,40.8778506716651
O00007,2024-03-13,C0658,UPI,Delivered,Customer_0658,Male,54,Delhi,North,2024-06-23,OD000014,P0038,1,5709.0,15.0,4852.65,1853.65,Wall Clock,Home,2999.0,5709.0,2024,3,March,2024-03,38.19871616539417
O00007,2024-03-13,C0658,UPI,Delivered,Customer_0658,Male,54,Delhi,North,2024-06-23,OD000015,P0068,4,375.0,20.0,1200.0,0.0,Perfume,Beauty,300.0,375.0,2024,3,March,2024-03,0.0
O00008,2025-05-23,C0597,Net Banking,Delivered,Customer_0597,Male,29,Chennai,South,2023-07-28,OD000016,P0055,1,3114.0,10.0,2802.6,559.6,Watch,Fashion,2243.0,3114.0,2025,5,May,2025-05,19.96717333904232
O00008,2025-05-23,C0597,Net Banking,Delivered,Customer_0597,Male,29,Chennai,South,2023-07-28,OD000017,P0063,3,5568.0,15.0,14198.4,4862.4,Shampoo,Beauty,3112.0,5568.0,2025,5,May,2025-05,34.246112237998645
O00008,2025-05-23,C0597,Net Banking,Delivered,Customer_0597,Male,29,Chennai,South,2023-07-28,OD000018,P0048,3,3582.0,15.0,9134.1,3245.1,Sneakers,Fashion,1963.0,3582.0,2025,5,May,2025-05,35.527309751371234
O00009,2025-01-24,C0100,Net Banking,Delivered,Customer_0100,Male,27,Hyderabad,South,2024-04-30,OD000019,P0001,1,8847.0,10.0,7962.3,3122.3,Wireless Headphones,Electronics,4840.0,8847.0,2025,1,January,2025-01,39.213543825276616
O00009,2025-01-24,C0100,Net Banking,Delivered,Customer_0100,Male,27,Hyderabad,South,2024-04-30,OD000020,P0073,4,3981.0,0.0,15924.0,6324.0,Python Book,Books,2400.0,3981.0,2025,1,January,2025-01,39.71363978899774
O00010,2025-09-10,C0616,Credit Card,Delivered,Customer_0616,Male,60,Hyderabad,South,2024-02-05,OD000021,P0006,2,5410.0,20.0,8656.0,2020.0,Smart Watch,Electronics,3318.0,5410.0,2025,9,September,2025-09,23.33641404805915
